Train_No,Start_Station,End_Station,Start_Departure,End_Arrival,Total_Distance,Number_of_Stops,Journey_Duration
56208,MYSORE JN.,CHAMRAJANAGA,14:50:00,16:40:00,60,13,0 days 01:50:00
56209,CHAMRAJANAGA,MYSORE JN.,18:00:00,19:50:00,60,13,0 days 01:50:00
56210,MYSORE JN.,CHAMRAJANAGA,12:30:00,14:15:00,60,13,0 days 01:45:00
56215,YESVANTPUR J,MYSORE JN.,12:45:00,20:00:00,294,34,0 days 07:15:00
56216,MYSORE JN.,YESVANTPUR J,08:30:00,15:45:00,294,34,0 days 07:15:00
56217,TALGUPPA,SHIMOGA TOWN,10:00:00,12:30:00,96,7,0 days 02:30:00
56218,SHIMOGA TOWN,TALGUPPA,13:40:00,16:30:00,96,7,0 days 02:50:00
56221,KRANTIVIRA S,TUMKUR,09:20:00,11:05:00,69,14,0 days 01:45:00
56222,TUMKUR,KRANTIVIRA S,11:35:00,13:20:00,69,14,0 days 01:45:00
56223,KRANTIVIRA S,ARSIKERE JN.,18:20:00,22:50:00,165,29,0 days 04:30:00
56224,ARSIKERE JN.,KRANTIVIRA S,05:00:00,09:10:00,165,29,0 days 04:10:00
56225,KRANTIVIRA S,TUMKUR,13:50:00,15:55:00,69,14,0 days 02:05:00
56226,TUMKUR,KRANTIVIRA S,16:25:00,18:15:00,69,14,0 days 01:50:00
56227,KRANTIVIRA S,SHIMOGA TOWN,16:30:00,23:35:00,273,41,0 days 07:05:00
56228,SHIMOGA TOWN,KRANTIVIRA S,04:00:00,11:20:00,273,41,0 days 07:20:00
56231,MYSORE JN.,KRANTIVIRA S,05:50:00,09:15:00,138,20,0 days 03:25:00
56232,KRANTIVIRA S,MYSORE JN.,09:20:00,12:35:00,138,22,0 days 03:15:00
56237,MYSORE JN.,KRANTIVIRA S,14:45:00,18:05:00,138,22,0 days 03:20:00
56238,KRANTIVIRA S,MYSORE JN.,19:00:00,22:20:00,138,21,0 days 03:20:00
56241,SALEM JN.,YESVANTPUR J,05:20:00,10:45:00,220,22,0 days 05:25:00
56242,YESVANTPUR J,SALEM JN.,16:05:00,21:40:00,219,22,0 days 05:35:00
56261,ARAKKONAM JN,KRANTIVIRA S,08:00:00,18:45:00,290,43,0 days 10:45:00
56262,KRANTIVIRA S,ARAKKONAM JN,09:15:00,17:45:00,290,41,0 days 08:30:00
56263,MYSORE JN.,KRANTIVIRA S,23:55:00,04:15:00,138,17,0 days 04:20:00
56264,KRANTIVIRA S,MYSORE JN.,23:55:00,04:00:00,138,17,0 days 04:05:00
56265,ARSIKERE JN.,MYSORE JN.,17:30:00,21:25:00,167,21,0 days 03:55:00
